date,category,product,distribution_center,supplier,manual_forecast,actual_demand,stock_level,lead_time_days,delivery_performance,customer_satisfaction,allocation_efficiency,forecast_accuracy,stockout,stockout_qty,overstock,overstock_qty,forecast_error,forecast_error_pct,forecast_bias
2023-10-01,Sports,Yoga Mat,East DC,Supplier E,157,134,168,13,80,3.75,74.63,82.84,False,0,True,34,23,17.16,Over-forecast
2023-10-01,Beauty,Shampoo,South DC,Supplier E,202,178,219,16,103,4.66,76.97,86.52,False,0,True,41,24,13.48,Over-forecast
2023-10-01,Beauty,Shampoo,West DC,Supplier B,169,211,183,5,100,3.65,86.73,80.09,True,28,False,0,-42,19.91,Under-forecast
2023-10-01,Beauty,Skincare,East DC,Supplier B,184,215,198,2,101,3.86,92.09,85.58,True,17,False,0,-31,14.42,Under-forecast
2023-10-01,Beauty,Skincare,West DC,Supplier E,252,228,284,22,40,3.51,75.44,89.47,False,0,True,56,24,10.53,Over-forecast
2023-10-01,Beauty,Hair Dryer,Central DC,Supplier A,161,178,180,3,100,4.8,98.88,90.45,False,0,False,2,-17,9.55,Under-forecast
2023-10-01,Beauty,Hair Dryer,South DC,Supplier D,268,228,307,7,101,4.29,65.35,82.46,False,0,True,79,40,17.54,Over-forecast
2023-10-02,Electronics,Headphones,South DC,Supplier D,129,150,136,10,97,4.34,90.67,86.0,True,14,False,0,-21,14.0,Under-forecast
2023-10-02,Electronics,Headphones,West DC,Supplier C,148,124,160,8,97,4.61,70.97,80.65,False,0,True,36,24,19.35,Over-forecast
2023-10-02,Electronics,Phone,Central DC,Supplier A,153,135,169,4,100,3.99,74.81,86.67,False,0,True,34,18,13.33,Over-forecast
2023-10-02,Electronics,Phone,South DC,Supplier D,77,89,82,8,101,4.52,92.13,86.52,True,7,False,0,-12,13.48,Under-forecast
2023-10-02,Electronics,Smart Watch,East DC,Supplier D,179,165,195,10,97,4.87,81.82,91.52,False,0,False,30,14,8.48,Over-forecast
2023-10-02,Electronics,Smart Watch,Central DC,Supplier B,224,199,254,2,97,3.95,72.36,87.44,False,0,True,55,25,12.56,Over-forecast
2023-10-02,Clothing,Sweater,West DC,Supplier D,174,149,192,15,60,4.22,71.14,83.22,False,0,True,43,25,16.78,Over-forecast
2023-10-02,Clothing,Sweater,East DC,Supplier E,237,200,249,14,101,4.02,75.5,81.5,False,0,True,49,37,18.5,Over-forecast
2023-10-02,Clothing,Dress,South DC,Supplier E,120,107,133,30,40,3.49,75.7,87.85,False,0,True,26,13,12.15,Over-forecast
2023-10-02,Clothing,Dress,West DC,Supplier C,143,123,156,8,100,4.21,73.17,83.74,False,0,True,33,20,16.26,Over-forecast
2023-10-02,Clothing,Jacket,Central DC,Supplier A,213,243,235,3,97,3.52,96.71,87.65,True,8,False,0,-30,12.35,Under-forecast
2023-10-02,Clothing,Jacket,South DC,Supplier D,493,412,528,13,80,3.77,71.84,80.34,False,0,True,116,81,19.66,Over-forecast
2023-10-02,Food,Eggs,West DC,Supplier E,293,261,327,17,97,4.06,74.71,87.74,False,0,True,66,32,12.26,Over-forecast
2023-10-02,Food,Eggs,East DC,Supplier B,243,213,260,6,100,4.25,77.93,85.92,False,0,True,47,30,14.08,Over-forecast
2023-10-02,Food,Coffee,East DC,Supplier B,130,152,142,5,100,3.86,93.42,85.53,True,10,False,0,-22,14.47,Under-forecast
2023-10-02,Food,Coffee,South DC,Supplier E,267,225,298,11,97,4.45,67.56,81.33,False,0,True,73,42,18.67,Over-forecast
2023-10-02,Food,Bread,West DC,Supplier A,265,300,295,2,97,3.79,98.33,88.33,True,5,False,0,-35,11.67,Under-forecast
2023-10-02,Food,Bread,Central DC,Supplier A,280,343,316,2,99,4.01,92.13,81.63,True,27,False,0,-63,18.37,Under-forecast
2023-10-02,Home Goods,Curtains,Central DC,Supplier B,67,57,73,3,97,4.25,71.93,82.46,False,0,True,16,10,17.54,Accurate
2023-10-02,Home Goods,Curtains,South DC,Supplier B,133,122,143,3,100,4.89,82.79,90.98,False,0,False,21,11,9.02,Over-forecast
2023-10-02,Home Goods,Rug,Central DC,Supplier A,93,109,104,1,97,3.52,95.41,85.32,True,5,False,0,-16,14.68,Under-forecast
2023-10-02,Home Goods,Rug,South DC,Supplier B,164,138,175,6,90,3.92,73.19,81.16,False,0,True,37,26,18.84,Over-forecast
2023-10-02,Home Goods,Table,West DC,Supplier A,57,64,63,3,100,3.99,98.44,89.06,True,1,False,0,-7,10.94,Accurate
2023-10-02,Home Goods,Table,South DC,Supplier A,161,146,175,4,90,3.87,80.14,89.73,False,0,False,29,15,10.27,Over-forecast
2023-10-02,Sports,Running Shoes,Central DC,Supplier A,75,69,82,3,100,5.0,81.16,91.3,False,0,False,13,6,8.7,Accurate
2023-10-02,Sports,Running Shoes,West DC,Supplier B,74,92,83,5,100,3.92,90.22,80.43,True,9,False,0,-18,19.57,Under-forecast
2023-10-02,Sports,Fitness Tracker,Central DC,Supplier C,122,113,134,5,97,4.57,81.42,92.04,False,0,False,21,9,7.96,Accurate
2023-10-02,Sports,Fitness Tracker,South DC,Supplier C,49,62,54,3,101,2.81,87.1,79.03,True,8,False,0,-13,20.97,Under-forecast
2023-10-02,Sports,Dumbbells,Central DC,Supplier B,212,188,242,5,90,4.45,71.28,87.23,False,0,True,54,24,12.77,Over-forecast
2023-10-02,Sports,Dumbbells,East DC,Supplier E,143,164,154,14,90,4.04,93.9,87.2,True,10,False,0,-21,12.8,Under-forecast
2023-10-02,Beauty,Makeup,East DC,Supplier E,127,147,135,15,97,3.59,91.84,86.39,True,12,False,0,-20,13.61,Under-forecast
2023-10-02,Beauty,Makeup,West DC,Supplier B,139,173,151,6,100,3.23,87.28,80.35,True,22,False,0,-34,19.65,Under-forecast
2023-10-02,Beauty,Perfume,East DC,Supplier B,116,127,128,3,97,4.68,99.21,91.34,False,0,False,1,-11,8.66,Under-forecast
2023-10-02,Beauty,Perfume,South DC,Supplier E,178,197,188,11,97,4.31,95.43,90.36,True,9,False,0,-19,9.64,Under-forecast
2023-10-02,Beauty,Shampoo,West DC,Supplier C,181,203,202,9,100,4.03,99.51,89.16,True,1,False,0,-22,10.84,Under-forecast
2023-10-02,Beauty,Shampoo,South DC,Supplier E,194,165,222,15,100,4.1,65.45,82.42,False,0,True,57,29,17.58,Over-forecast
2023-10-03,Electronics,Phone,West DC,Supplier E,119,103,132,23,70,3.86,71.84,84.47,False,0,True,29,16,15.53,Over-forecast
2023-10-03,Electronics,Phone,East DC,Supplier E,92,113,105,21,60,3.35,92.92,81.42,True,8,False,0,-21,18.58,Under-forecast
2023-10-03,Electronics,Headphones,South DC,Supplier C,84,97,93,9,90,3.73,95.88,86.6,True,4,False,0,-13,13.4,Under-forecast
2023-10-03,Electronics,Headphones,Central DC,Supplier B,127,111,143,5,100,4.0,71.17,85.59,False,0,True,32,16,14.41,Over-forecast
2023-10-03,Electronics,Camera,Central DC,Supplier A,103,90,112,4,90,4.17,75.56,85.56,False,0,True,22,13,14.44,Over-forecast
2023-10-03,Electronics,Camera,East DC,Supplier E,134,113,148,18,70,4.07,69.03,81.42,False,0,True,35,21,18.58,Over-forecast
2023-10-03,Clothing,Dress,Central DC,Supplier B,148,126,169,5,100,4.29,65.87,82.54,False,0,True,43,22,17.46,Over-forecast
2023-10-03,Clothing,Dress,East DC,Supplier E,216,250,244,13,97,3.69,97.6,86.4,True,6,False,0,-34,13.6,Under-forecast
2023-10-03,Clothing,Shoes,South DC,Supplier A,189,174,212,5,90,4.91,78.16,91.38,False,0,True,38,15,8.62,Over-forecast
2023-10-03,Clothing,Shoes,West DC,Supplier A,217,200,228,4,100,5.0,86.0,91.5,False,0,False,28,17,8.5,Over-forecast
2023-10-03,Clothing,Sweater,West DC,Supplier D,262,290,295,14,90,4.97,98.28,90.34,False,0,False,5,-28,9.66,Under-forecast
2023-10-03,Clothing,Sweater,South DC,Supplier E,133,147,148,18,90,4.59,99.32,90.48,False,0,False,1,-14,9.52,Under-forecast
2023-10-03,Food,Chocolate,West DC,Supplier A,219,256,249,3,100,3.68,97.27,85.55,True,7,False,0,-37,14.45,Under-forecast
2023-10-03,Food,Chocolate,Central DC,Supplier C,300,264,341,6,90,4.38,70.83,86.36,False,0,True,77,36,13.64,Over-forecast
2023-10-03,Food,Coffee,South DC,Supplier B,284,321,304,2,97,3.88,94.7,88.47,True,17,False,0,-37,11.53,Under-forecast
2023-10-03,Food,Coffee,Central DC,Supplier E,444,386,505,19,80,4.05,69.17,84.97,False,0,True,119,58,15.03,Over-forecast
2023-10-03,Food,Milk,West DC,Supplier A,255,222,273,3,100,4.18,77.03,85.14,False,0,True,51,33,14.86,Over-forecast
2023-10-03,Food,Milk,South DC,Supplier C,164,144,180,7,100,4.33,75.0,86.11,False,0,True,36,20,13.89,Over-forecast
2023-10-03,Home Goods,Table,South DC,Supplier D,71,62,75,4,101,4.23,79.03,85.48,False,0,True,13,9,14.52,Accurate
2023-10-03,Home Goods,Table,East DC,Supplier E,147,124,158,14,97,4.23,72.58,81.45,False,0,True,34,23,18.55,Over-forecast
2023-10-03,Home Goods,Curtains,West DC,Supplier B,76,94,83,3,100,3.75,88.3,80.85,True,11,False,0,-18,19.15,Under-forecast
2023-10-03,Home Goods,Curtains,Central DC,Supplier C,159,135,180,5,100,4.57,66.67,82.22,False,0,True,45,24,17.78,Over-forecast
2023-10-03,Home Goods,Chair,South DC,Supplier B,104,93,110,6,100,4.44,81.72,88.17,False,0,False,17,11,11.83,Over-forecast
2023-10-03,Home Goods,Chair,East DC,Supplier C,125,142,136,6,100,4.02,95.77,88.03,True,6,False,0,-17,11.97,Under-forecast
2023-10-03,Sports,Fitness Tracker,Central DC,Supplier D,144,133,156,6,99,4.53,82.71,91.73,False,0,False,23,11,8.27,Over-forecast
2023-10-03,Sports,Fitness Tracker,South DC,Supplier D,99,119,106,10,97,3.58,89.08,83.19,True,13,False,0,-20,16.81,Under-forecast
2023-10-03,Sports,Dumbbells,South DC,Supplier B,123,111,131,7,90,4.4,81.98,89.19,False,0,False,20,12,10.81,Over-forecast
2023-10-03,Sports,Dumbbells,West DC,Supplier B,117,105,131,4,97,4.05,75.24,88.57,False,0,True,26,12,11.43,Over-forecast
2023-10-03,Sports,Yoga Mat,Central DC,Supplier C,175,150,197,7,100,4.52,68.67,83.33,False,0,True,47,25,16.67,Over-forecast
2023-10-03,Sports,Yoga Mat,South DC,Supplier B,66,78,70,4,100,3.4,89.74,84.62,True,8,False,0,-12,15.38,Under-forecast
2023-10-03,Beauty,Skincare,West DC,Supplier A,98,82,109,2,100,4.66,67.07,80.49,False,0,True,27,16,19.51,Over-forecast
2023-10-03,Beauty,Skincare,Central DC,Supplier D,197,215,210,5,99,4.32,97.67,91.63,True,5,False,0,-18,8.37,Under-forecast
2023-10-03,Beauty,Shampoo,East DC,Supplier B,157,144,175,3,97,4.97,78.47,90.97,False,0,True,31,13,9.03,Over-forecast
2023-10-03,Beauty,Shampoo,Central DC,Supplier B,100,85,113,4,100,4.43,67.06,82.35,False,0,True,28,15,17.65,Over-forecast
2023-10-03,Beauty,Makeup,Central DC,Supplier C,114,100,120,6,99,4.1,80.0,86.0,False,0,False,20,14,14.0,Over-forecast
2023-10-03,Beauty,Makeup,South DC,Supplier A,150,173,159,3,100,4.17,91.91,86.71,True,14,False,0,-23,13.29,Under-forecast
2023-10-04,Electronics,Headphones,Central DC,Supplier E,173,189,189,14,100,5.0,100.0,91.53,False,0,False,0,-16,8.47,Under-forecast
2023-10-04,Electronics,Headphones,South DC,Supplier E,147,130,161,13,80,4.18,76.15,86.92,False,0,True,31,17,13.08,Over-forecast
2023-10-04,Electronics,Smart Watch,Central DC,Supplier B,209,184,224,2,99,4.58,78.26,86.41,False,0,True,40,25,13.59,Over-forecast
2023-10-04,Electronics,Smart Watch,South DC,Supplier A,133,147,147,3,97,4.71,100.0,90.48,False,0,False,0,-14,9.52,Under-forecast
2023-10-04,Electronics,Tablet,East DC,Supplier B,87,106,99,6,90,3.77,93.4,82.08,True,7,False,0,-19,17.92,Under-forecast
2023-10-04,Electronics,Tablet,West DC,Supplier C,195,169,208,7,97,4.29,76.92,84.62,False,0,True,39,26,15.38,Over-forecast
2023-10-04,Clothing,Jacket,Central DC,Supplier A,254,312,269,3,100,3.5,86.22,81.41,True,43,False,0,-58,18.59,Under-forecast
2023-10-04,Clothing,Jacket,West DC,Supplier A,350,419,384,3,97,3.82,91.65,83.53,True,35,False,0,-69,16.47,Under-forecast
2023-10-04,Clothing,T-shirt,South DC,Supplier A,255,282,271,1,99,4.36,96.1,90.43,True,11,False,0,-27,9.57,Under-forecast
2023-10-04,Clothing,T-shirt,East DC,Supplier E,114,103,129,9,97,4.11,74.76,89.32,False,0,True,26,11,10.68,Over-forecast
2023-10-04,Clothing,Sweater,West DC,Supplier B,144,172,160,5,90,3.91,93.02,83.72,True,12,False,0,-28,16.28,Under-forecast
2023-10-04,Clothing,Sweater,South DC,Supplier E,323,371,360,16,90,4.23,97.04,87.06,True,11,False,0,-48,12.94,Under-forecast
2023-10-04,Food,Coffee,West DC,Supplier C,218,189,241,8,90,4.12,72.49,84.66,False,0,True,52,29,15.34,Over-forecast
2023-10-04,Food,Coffee,South DC,Supplier A,399,345,438,2,100,4.61,73.04,84.35,False,0,True,93,54,15.65,Over-forecast
2023-10-04,Food,Bread,South DC,Supplier C,323,281,358,4,99,4.51,72.6,85.05,False,0,True,77,42,14.95,Over-forecast
2023-10-04,Food,Bread,West DC,Supplier B,211,262,241,4,100,3.71,91.98,80.53,True,21,False,0,-51,19.47,Under-forecast
2023-10-04,Food,Milk,Central DC,Supplier A,360,301,396,5,90,4.29,68.44,80.4,False,0,True,95,59,19.6,Over-forecast
2023-10-04,Food,Milk,East DC,Supplier D,250,305,275,12,97,4.41,90.16,81.97,True,30,False,0,-55,18.03,Under-forecast
2023-10-04,Home Goods,Chair,East DC,Supplier D,69,59,74,10,80,3.84,74.58,83.05,False,0,True,15,10,16.95,Accurate
2023-10-04,Home Goods,Chair,Central DC,Supplier A,55,65,61,4,90,3.81,93.85,84.62,True,4,False,0,-10,15.38,Under-forecast
2023-10-04,Home Goods,Rug,South DC,Supplier E,63,75,67,13,90,3.4,89.33,84.0,True,8,False,0,-12,16.0,Under-forecast
2023-10-04,Home Goods,Rug,East DC,Supplier A,66,75,69,2,100,4.01,92.0,88.0,True,6,False,0,-9,12.0,Accurate
2023-10-04,Home Goods,Lamp,South DC,Supplier D,108,100,116,9,90,4.77,84.0,92.0,False,0,False,16,8,8.0,Accurate
2023-10-04,Home Goods,Lamp,West DC,Supplier B,100,125,108,2,99,3.61,86.4,80.0,True,17,False,0,-25,20.0,Under-forecast
2023-10-04,Sports,Fitness Tracker,West DC,Supplier E,117,128,134,11,97,5.0,95.31,91.41,False,0,False,6,-11,8.59,Under-forecast
2023-10-04,Sports,Fitness Tracker,South DC,Supplier E,130,156,139,19,80,3.16,89.1,83.33,True,17,False,0,-26,16.67,Under-forecast
2023-10-04,Sports,Yoga Mat,East DC,Supplier E,142,162,156,8,103,3.93,96.3,87.65,True,6,False,0,-20,12.35,Under-forecast
2023-10-04,Sports,Yoga Mat,Central DC,Supplier D,83,74,94,11,97,4.04,72.97,87.84,False,0,True,20,9,12.16,Accurate
2023-10-04,Sports,Tennis Racket,Central DC,Supplier C,169,142,191,6,90,4.17,65.49,80.99,False,0,True,49,27,19.01,Over-forecast
2023-10-04,Sports,Tennis Racket,East DC,Supplier A,147,169,159,1,97,3.65,94.08,86.98,True,10,False,0,-22,13.02,Under-forecast
2023-10-04,Beauty,Perfume,Central DC,Supplier D,113,129,125,7,97,3.94,96.9,87.6,True,4,False,0,-16,12.4,Under-forecast
2023-10-04,Beauty,Perfume,East DC,Supplier C,160,146,177,9,90,5.0,78.77,90.41,False,0,True,31,14,9.59,Over-forecast
2023-10-04,Beauty,Makeup,West DC,Supplier B,108,129,119,5,90,4.18,92.25,83.72,True,10,False,0,-21,16.28,Under-forecast
2023-10-04,Beauty,Makeup,Central DC,Supplier D,181,212,190,8,100,3.25,89.62,85.38,True,22,False,0,-31,14.62,Under-forecast
2023-10-04,Beauty,Skincare,Central DC,Supplier B,228,204,250,2,97,4.5,77.45,88.24,False,0,True,46,24,11.76,Over-forecast
2023-10-04,Beauty,Skincare,West DC,Supplier A,209,176,221,1,97,4.5,74.43,81.25,False,0,True,45,33,18.75,Over-forecast
2023-10-05,Electronics,Laptop,East DC,Supplier A,190,175,202,2,100,4.66,84.57,91.43,False,0,False,27,15,8.57,Over-forecast
2023-10-05,Electronics,Laptop,West DC,Supplier D,102,90,117,9,100,4.4,70.0,86.67,False,0,True,27,12,13.33,Over-forecast
2023-10-05,Electronics,Phone,South DC,Supplier A,173,189,198,4,100,4.97,95.24,91.53,False,0,False,9,-16,8.47,Under-forecast
2023-10-05,Electronics,Phone,East DC,Supplier C,141,122,148,6,100,4.15,78.69,84.43,False,0,True,26,19,15.57,Over-forecast
2023-10-05,Electronics,Camera,Central DC,Supplier B,111,132,117,3,100,3.54,88.64,84.09,True,15,False,0,-21,15.91,Under-forecast
2023-10-05,Electronics,Camera,South DC,Supplier E,85,102,89,13,97,3.48,87.25,83.33,True,13,False,0,-17,16.67,Under-forecast
2023-10-05,Clothing,Jeans,South DC,Supplier B,288,244,324,7,90,3.87,67.21,81.97,False,0,True,80,44,18.03,Over-forecast
2023-10-05,Clothing,Jeans,Central DC,Supplier E,129,111,138,11,97,4.07,75.68,83.78,False,0,True,27,18,16.22,Over-forecast
2023-10-05,Clothing,Jacket,South DC,Supplier C,341,379,377,5,100,4.07,99.47,89.97,True,2,False,0,-38,10.03,Under-forecast
2023-10-05,Clothing,Jacket,West DC,Supplier D,263,320,290,9,101,3.96,90.62,82.19,True,30,False,0,-57,17.81,Under-forecast
2023-10-05,Clothing,Dress,Central DC,Supplier C,206,191,231,8,100,4.59,79.06,92.15,False,0,True,40,15,7.85,Over-forecast
2023-10-05,Clothing,Dress,West DC,Supplier A,318,273,352,1,97,4.36,71.06,83.52,False,0,True,79,45,16.48,Over-forecast
2023-10-05,Food,Eggs,West DC,Supplier B,168,149,184,3,99,4.06,76.51,87.25,False,0,True,35,19,12.75,Over-forecast
2023-10-05,Food,Eggs,East DC,Supplier E,253,227,269,17,100,4.29,81.5,88.55,False,0,False,42,26,11.45,Over-forecast
2023-10-05,Food,Cheese,West DC,Supplier A,257,310,279,1,97,4.24,90.0,82.9,True,31,False,0,-53,17.1,Under-forecast
2023-10-05,Food,Cheese,East DC,Supplier D,165,142,185,12,97,4.42,69.72,83.8,False,0,True,43,23,16.2,Over-forecast
2023-10-05,Food,Bread,Central DC,Supplier A,421,366,481,5,90,4.48,68.58,84.97,False,0,True,115,55,15.03,Over-forecast
2023-10-05,Food,Bread,East DC,Supplier D,188,218,199,8,99,3.89,91.28,86.24,True,19,False,0,-30,13.76,Under-forecast
2023-10-05,Home Goods,Table,South DC,Supplier B,86,107,90,4,99,2.93,84.11,80.37,True,17,False,0,-21,19.63,Under-forecast
2023-10-05,Home Goods,Table,West DC,Supplier A,140,154,147,2,97,4.67,95.45,90.91,True,7,False,0,-14,9.09,Under-forecast
2023-10-05,Home Goods,Curtains,South DC,Supplier A,51,64,55,3,100,3.25,85.94,79.69,True,9,False,0,-13,20.31,Under-forecast
2023-10-05,Home Goods,Curtains,West DC,Supplier C,55,69,57,8,97,2.65,82.61,79.71,True,12,False,0,-14,20.29,Under-forecast
2023-10-05,Home Goods,Pillow,East DC,Supplier A,121,112,133,3,100,4.65,81.25,91.96,False,0,False,21,9,8.04,Accurate
2023-10-05,Home Goods,Pillow,Central DC,Supplier A,116,103,128,5,90,4.24,75.73,87.38,False,0,True,25,13,12.62,Over-forecast
2023-10-05,Sports,Yoga Mat,East DC,Supplier C,146,128,164,8,97,4.39,71.88,85.94,False,0,True,36,18,14.06,Over-forecast
2023-10-05,Sports,Yoga Mat,South DC,Supplier B,102,86,112,3,97,4.25,69.77,81.4,False,0,True,26,16,18.6,Over-forecast
2023-10-05,Sports,Fitness Tracker,South DC,Supplier B,78,70,86,2,97,4.25,77.14,88.57,False,0,True,16,8,11.43,Accurate
2023-10-05,Sports,Fitness Tracker,Central DC,Supplier A,138,124,157,3,100,4.12,73.39,88.71,False,0,True,33,14,11.29,Over-forecast
2023-10-05,Sports,Tennis Racket,South DC,Supplier A,191,176,215,2,97,4.75,77.84,91.48,False,0,True,39,15,8.52,Over-forecast
2023-10-05,Sports,Tennis Racket,West DC,Supplier D,66,73,74,6,99,4.51,98.63,90.41,False,0,False,1,-7,9.59,Accurate
2023-10-05,Beauty,Hair Dryer,East DC,Supplier C,218,192,238,11,80,3.94,76.04,86.46,False,0,True,46,26,13.54,Over-forecast
2023-10-05,Beauty,Hair Dryer,Central DC,Supplier A,115,99,127,1,99,4.58,71.72,83.84,False,0,True,28,16,16.16,Over-forecast
2023-10-05,Beauty,Shampoo,West DC,Supplier E,89,83,94,11,99,4.65,86.75,92.77,False,0,False,11,6,7.23,Accurate
2023-10-05,Beauty,Shampoo,South DC,Supplier C,100,110,111,6,99,5.0,99.09,90.91,False,0,False,1,-10,9.09,Under-forecast
2023-10-05,Beauty,Perfume,West DC,Supplier B,189,209,207,8,80,3.93,99.04,90.43,True,2,False,0,-20,9.57,Under-forecast
2023-10-05,Beauty,Perfume,Central DC,Supplier D,191,160,213,8,99,4.11,66.88,80.62,False,0,True,53,31,19.38,Over-forecast
2023-10-06,Electronics,Tablet,South DC,Supplier E,105,116,113,17,97,4.01,97.41,90.52,True,3,False,0,-11,9.48,Under-forecast
2023-10-06,Electronics,Tablet,West DC,Supplier A,133,164,140,2,100,3.52,85.37,81.1,True,24,False,0,-31,18.9,Under-forecast
2023-10-06,Electronics,Smart Watch,West DC,Supplier B,103,95,115,3,100,4.54,78.95,91.58,False,0,True,20,8,8.42,Accurate
2023-10-06,Electronics,Smart Watch,South DC,Supplier C,128,146,136,8,97,4.16,93.15,87.67,True,10,False,0,-18,12.33,Under-forecast
2023-10-06,Electronics,Headphones,South DC,Supplier A,171,149,188,4,100,4.36,73.83,85.23,False,0,True,39,22,14.77,Over-forecast
2023-10-06,Electronics,Headphones,Central DC,Supplier C,74,86,82,4,101,3.97,95.35,86.05,True,4,False,0,-12,13.95,Under-forecast
2023-10-06,Clothing,Shoes,South DC,Supplier A,259,293,283,3,100,3.75,96.59,88.4,True,10,False,0,-34,11.6,Under-forecast
2023-10-06,Clothing,Shoes,East DC,Supplier D,163,151,171,10,90,4.33,86.75,92.05,False,0,False,20,12,7.95,Over-forecast
2023-10-06,Clothing,Sweater,East DC,Supplier C,315,268,356,5,100,4.36,67.16,82.46,False,0,True,88,47,17.54,Over-forecast
2023-10-06,Clothing,Sweater,Central DC,Supplier D,215,247,233,9,100,4.16,94.33,87.04,True,14,False,0,-32,12.96,Under-forecast
2023-10-06,Clothing,Jeans,South DC,Supplier B,366,309,402,6,90,4.5,69.9,81.55,False,0,True,93,57,18.45,Over-forecast
2023-10-06,Clothing,Jeans,Central DC,Supplier D,128,107,143,10,100,4.2,66.36,80.37,False,0,True,36,21,19.63,Over-forecast
2023-10-06,Food,Chocolate,South DC,Supplier C,221,190,250,8,90,4.17,68.42,83.68,False,0,True,60,31,16.32,Over-forecast
2023-10-06,Food,Chocolate,East DC,Supplier E,225,191,256,15,97,4.24,65.97,82.2,False,0,True,65,34,17.8,Over-forecast
