date,category,product,distribution_center,supplier,manual_forecast,actual_demand,stock_level,lead_time_days,delivery_performance,customer_satisfaction,allocation_efficiency,forecast_accuracy,stockout,stockout_qty,overstock,overstock_qty,forecast_error,forecast_error_pct,forecast_bias,forecast_accuracy_band
2023-10-01,Sports,Yoga Mat,South DC,Supplier B,103,86,118,4,100,4.33,64.04,80.23,False,0,True,32,17,19.77,Over-forecast,Good (80-90%)
2023-10-01,Sports,Fitness Tracker,East DC,Supplier E,69,63,78,12,97,4.54,78.6,90.48,False,0,True,15,6,9.52,Accurate,Excellent (90-100%)
2023-10-01,Sports,Fitness Tracker,West DC,Supplier A,99,88,107,3,96,4.54,75.31,87.5,False,0,True,19,11,12.5,Accurate,Good (80-90%)
2023-10-01,Beauty,Skincare,South DC,Supplier B,161,149,178,5,100,4.59,87.44,91.95,False,0,False,29,12,8.05,Accurate,Excellent (90-100%)
2023-10-01,Beauty,Skincare,East DC,Supplier E,195,213,221,13,84,4.08,98.3,91.55,False,0,False,8,-18,8.45,Under-forecast,Excellent (90-100%)
2023-10-01,Beauty,Perfume,East DC,Supplier A,221,247,245,3,100,3.65,96.71,89.47,True,2,False,0,-26,10.53,Under-forecast,Good (80-90%)
2023-10-01,Beauty,Perfume,South DC,Supplier A,145,180,162,1,96,3.89,93.25,80.56,True,18,False,0,-35,19.44,Under-forecast,Good (80-90%)
2023-10-01,Beauty,Makeup,East DC,Supplier E,113,104,130,11,84,4.53,76.36,91.35,False,0,True,26,9,8.65,Accurate,Excellent (90-100%)
2023-10-01,Beauty,Makeup,Central DC,Supplier A,174,190,191,2,100,5.0,99.53,91.58,False,0,False,1,-16,8.42,Under-forecast,Excellent (90-100%)
2023-10-02,Electronics,Laptop,East DC,Supplier C,131,143,144,6,97,4.7,96.93,91.61,False,0,False,1,-12,8.39,Accurate,Excellent (90-100%)
2023-10-02,Electronics,Laptop,Central DC,Supplier A,195,180,217,3,96,5.0,71.77,91.67,False,0,True,37,15,8.33,Accurate,Excellent (90-100%)
2023-10-02,Electronics,Smart Watch,East DC,Supplier B,170,192,185,7,92,3.88,98.4,88.54,True,7,False,0,-22,11.46,Under-forecast,Good (80-90%)
2023-10-02,Electronics,Smart Watch,South DC,Supplier A,141,120,164,4,100,4.32,50.22,82.5,False,0,True,44,21,17.5,Over-forecast,Good (80-90%)
2023-10-02,Electronics,Camera,East DC,Supplier A,246,218,270,2,100,4.48,76.02,87.16,False,0,True,52,28,12.84,Over-forecast,Good (80-90%)
2023-10-02,Electronics,Camera,West DC,Supplier E,185,162,209,16,76,3.77,74.42,85.8,False,0,True,47,23,14.2,Over-forecast,Good (80-90%)
2023-10-02,Clothing,Jacket,Central DC,Supplier E,166,177,186,22,52,3.81,90.41,93.79,False,0,False,9,-11,6.21,Accurate,Excellent (90-100%)
2023-10-02,Clothing,Jacket,South DC,Supplier A,324,267,367,3,96,4.14,64.16,78.65,False,0,True,100,57,21.35,Over-forecast,Fair (70-80%)
2023-10-02,Clothing,Shoes,Central DC,Supplier B,128,119,134,4,100,4.75,80.56,92.44,False,0,False,15,9,7.56,Accurate,Excellent (90-100%)
2023-10-02,Clothing,Shoes,East DC,Supplier E,342,301,399,9,99,4.22,54.47,86.38,False,0,True,98,41,13.62,Over-forecast,Good (80-90%)
2023-10-02,Clothing,Jeans,East DC,Supplier A,233,219,251,4,100,4.78,81.66,93.61,False,0,False,32,14,6.39,Accurate,Excellent (90-100%)
2023-10-02,Clothing,Jeans,Central DC,Supplier A,160,146,178,4,100,4.77,78.9,90.41,False,0,True,32,14,9.59,Accurate,Excellent (90-100%)
2023-10-02,Food,Bread,Central DC,Supplier C,370,360,392,3,96,4.92,91.8,97.22,False,0,False,32,10,2.78,Accurate,Excellent (90-100%)
2023-10-02,Food,Bread,South DC,Supplier B,407,366,442,6,100,4.86,77.26,88.8,False,0,True,76,41,11.2,Over-forecast,Good (80-90%)
2023-10-02,Food,Cheese,South DC,Supplier B,204,216,218,3,100,4.92,98.75,94.44,False,0,False,2,-12,5.56,Accurate,Excellent (90-100%)
2023-10-02,Food,Cheese,East DC,Supplier D,379,401,398,9,84,4.08,99.98,94.51,True,3,False,0,-22,5.49,Under-forecast,Excellent (90-100%)
2023-10-02,Food,Eggs,East DC,Supplier B,351,380,371,6,100,3.9,99.39,92.37,True,9,False,0,-29,7.63,Under-forecast,Excellent (90-100%)
2023-10-02,Food,Eggs,Central DC,Supplier C,409,399,435,7,92,4.98,94.26,97.49,False,0,False,36,10,2.51,Accurate,Excellent (90-100%)
2023-10-02,Home Goods,Table,East DC,Supplier A,91,104,101,4,100,4.27,99.9,87.5,True,3,False,0,-13,12.5,Accurate,Good (80-90%)
2023-10-02,Home Goods,Table,West DC,Supplier B,106,93,115,3,100,4.6,76.22,86.02,False,0,True,22,13,13.98,Accurate,Good (80-90%)
2023-10-02,Home Goods,Lamp,South DC,Supplier C,119,102,138,9,92,3.74,62.42,83.33,False,0,True,36,17,16.67,Over-forecast,Good (80-90%)
2023-10-02,Home Goods,Lamp,West DC,Supplier A,103,118,111,2,96,3.67,90.91,87.29,True,7,False,0,-15,12.71,Under-forecast,Good (80-90%)
2023-10-02,Home Goods,Pillow,Central DC,Supplier C,118,108,130,5,96,4.68,73.45,90.74,False,0,True,22,10,9.26,Accurate,Excellent (90-100%)
2023-10-02,Home Goods,Pillow,East DC,Supplier A,81,90,89,2,96,4.34,95.41,90.0,True,1,False,0,-9,10.0,Accurate,Good (80-90%)
2023-10-02,Sports,Fitness Tracker,South DC,Supplier D,130,121,136,3,97,4.9,85.37,92.56,False,0,False,15,9,7.44,Accurate,Excellent (90-100%)
2023-10-02,Sports,Fitness Tracker,West DC,Supplier D,108,98,119,6,96,4.17,77.13,89.8,False,0,True,21,10,10.2,Accurate,Good (80-90%)
2023-10-02,Sports,Yoga Mat,West DC,Supplier C,146,137,154,5,100,4.62,87.37,93.43,False,0,False,17,9,6.57,Accurate,Excellent (90-100%)
2023-10-02,Sports,Yoga Mat,East DC,Supplier C,72,68,76,5,97,4.9,84.98,94.12,False,0,False,8,4,5.88,Accurate,Excellent (90-100%)
2023-10-02,Sports,Running Shoes,West DC,Supplier A,160,142,176,4,100,4.64,76.08,87.32,False,0,True,34,18,12.68,Over-forecast,Good (80-90%)
2023-10-02,Sports,Running Shoes,East DC,Supplier B,84,90,88,6,100,3.86,99.48,93.33,True,2,False,0,-6,6.67,Accurate,Excellent (90-100%)
2023-10-02,Beauty,Makeup,East DC,Supplier A,175,203,191,4,100,4.36,90.85,86.21,True,12,False,0,-28,13.79,Under-forecast,Good (80-90%)
2023-10-02,Beauty,Makeup,West DC,Supplier C,127,144,141,9,92,3.43,97.54,88.19,True,3,False,0,-17,11.81,Under-forecast,Good (80-90%)
2023-10-02,Beauty,Hair Dryer,West DC,Supplier B,181,211,199,3,100,4.07,92.27,85.78,True,12,False,0,-30,14.22,Under-forecast,Good (80-90%)
2023-10-02,Beauty,Hair Dryer,South DC,Supplier E,91,83,105,10,98,4.57,73.49,90.36,False,0,True,22,8,9.64,Accurate,Excellent (90-100%)
2023-10-02,Beauty,Skincare,East DC,Supplier C,141,131,152,7,100,4.58,89.26,92.37,False,0,False,21,10,7.63,Accurate,Excellent (90-100%)
2023-10-02,Beauty,Skincare,South DC,Supplier B,163,151,172,6,100,4.65,86.65,92.05,False,0,False,21,12,7.95,Accurate,Excellent (90-100%)
2023-10-03,Electronics,Phone,South DC,Supplier D,141,124,154,11,92,4.45,76.24,86.29,False,0,True,30,17,13.71,Over-forecast,Good (80-90%)
2023-10-03,Electronics,Phone,East DC,Supplier B,224,211,237,3,100,4.97,81.17,93.84,False,0,False,26,13,6.16,Accurate,Excellent (90-100%)
2023-10-03,Electronics,Smart Watch,East DC,Supplier D,93,105,103,5,97,3.88,99.99,88.57,True,2,False,0,-12,11.43,Accurate,Good (80-90%)
2023-10-03,Electronics,Smart Watch,South DC,Supplier E,131,157,157,10,99,4.12,99.11,83.44,False,0,False,0,-26,16.56,Under-forecast,Good (80-90%)
2023-10-03,Electronics,Headphones,East DC,Supplier D,115,128,126,2,99,3.82,95.06,89.84,True,2,False,0,-13,10.16,Accurate,Good (80-90%)
2023-10-03,Electronics,Headphones,South DC,Supplier B,212,235,230,6,92,4.27,99.74,90.21,True,5,False,0,-23,9.79,Under-forecast,Excellent (90-100%)
2023-10-03,Clothing,Sweater,Central DC,Supplier C,261,237,282,3,96,4.72,80.23,89.87,False,0,False,45,24,10.13,Over-forecast,Good (80-90%)
2023-10-03,Clothing,Sweater,East DC,Supplier E,199,227,230,9,100,4.54,95.57,87.67,False,0,False,3,-28,12.33,Under-forecast,Good (80-90%)
2023-10-03,Clothing,Dress,South DC,Supplier D,193,245,219,5,96,2.39,87.44,78.78,True,26,False,0,-52,21.22,Under-forecast,Fair (70-80%)
2023-10-03,Clothing,Dress,West DC,Supplier E,256,282,298,25,44,4.04,94.59,90.78,False,0,False,16,-26,9.22,Under-forecast,Excellent (90-100%)
2023-10-03,Clothing,Jacket,South DC,Supplier C,199,225,218,4,98,3.86,97.9,88.44,True,7,False,0,-26,11.56,Under-forecast,Good (80-90%)
2023-10-03,Clothing,Jacket,East DC,Supplier E,270,243,310,12,99,4.36,71.84,88.89,False,0,True,67,27,11.11,Over-forecast,Good (80-90%)
2023-10-03,Food,Bread,West DC,Supplier D,200,221,223,5,100,4.54,95.18,90.5,False,0,False,2,-21,9.5,Under-forecast,Excellent (90-100%)
2023-10-03,Food,Bread,East DC,Supplier D,194,186,206,15,76,4.66,84.97,95.7,False,0,False,20,8,4.3,Accurate,Excellent (90-100%)
2023-10-03,Food,Milk,West DC,Supplier C,367,334,401,5,96,4.66,74.09,90.12,False,0,True,67,33,9.88,Over-forecast,Excellent (90-100%)
2023-10-03,Food,Milk,South DC,Supplier C,219,241,238,8,92,3.97,97.85,90.87,True,3,False,0,-22,9.13,Under-forecast,Excellent (90-100%)
2023-10-03,Food,Chocolate,West DC,Supplier E,202,211,226,12,84,4.6,93.34,95.73,False,0,False,15,-9,4.27,Accurate,Excellent (90-100%)
2023-10-03,Food,Chocolate,East DC,Supplier B,389,377,417,2,96,5.0,86.43,96.82,False,0,False,40,12,3.18,Accurate,Excellent (90-100%)
2023-10-03,Home Goods,Rug,East DC,Supplier C,140,126,152,5,97,4.49,75.52,88.89,False,0,True,26,14,11.11,Accurate,Good (80-90%)
2023-10-03,Home Goods,Rug,West DC,Supplier D,176,145,198,12,92,3.68,59.42,78.62,False,0,True,53,31,21.38,Over-forecast,Fair (70-80%)
2023-10-03,Home Goods,Lamp,Central DC,Supplier A,154,143,164,2,96,4.82,89.84,92.31,False,0,False,21,11,7.69,Accurate,Excellent (90-100%)
2023-10-03,Home Goods,Lamp,South DC,Supplier B,129,107,148,3,100,3.96,58.1,79.44,False,0,True,41,22,20.56,Over-forecast,Fair (70-80%)
2023-10-03,Home Goods,Pillow,South DC,Supplier B,149,125,168,3,100,4.43,60.38,80.8,False,0,True,43,24,19.2,Over-forecast,Good (80-90%)
2023-10-03,Home Goods,Pillow,East DC,Supplier C,103,114,114,5,96,4.6,97.19,90.35,False,0,False,0,-11,9.65,Accurate,Excellent (90-100%)
2023-10-03,Sports,Yoga Mat,East DC,Supplier E,64,73,74,11,84,4.06,95.16,87.67,False,0,False,1,-9,12.33,Accurate,Good (80-90%)
2023-10-03,Sports,Yoga Mat,South DC,Supplier D,75,63,84,4,96,4.21,56.89,80.95,False,0,True,21,12,19.05,Accurate,Good (80-90%)
2023-10-03,Sports,Fitness Tracker,West DC,Supplier D,90,79,98,17,60,4.03,76.95,86.08,False,0,True,19,11,13.92,Accurate,Good (80-90%)
2023-10-03,Sports,Fitness Tracker,East DC,Supplier E,144,126,166,7,97,4.27,65.17,85.71,False,0,True,40,18,14.29,Over-forecast,Good (80-90%)
2023-10-03,Sports,Running Shoes,West DC,Supplier A,143,125,155,2,100,4.69,79.44,85.6,False,0,True,30,18,14.4,Over-forecast,Good (80-90%)
2023-10-03,Sports,Running Shoes,Central DC,Supplier B,95,85,104,2,96,4.4,71.93,88.24,False,0,True,19,10,11.76,Accurate,Good (80-90%)
2023-10-03,Beauty,Shampoo,East DC,Supplier D,140,160,155,6,96,3.54,95.6,87.5,True,5,False,0,-20,12.5,Under-forecast,Good (80-90%)
2023-10-03,Beauty,Shampoo,South DC,Supplier B,161,184,177,3,100,4.12,97.6,87.5,True,7,False,0,-23,12.5,Under-forecast,Good (80-90%)
2023-10-03,Beauty,Perfume,South DC,Supplier C,231,195,272,9,92,3.95,58.04,81.54,False,0,True,77,36,18.46,Over-forecast,Good (80-90%)
2023-10-03,Beauty,Perfume,Central DC,Supplier B,97,92,102,7,92,4.47,82.96,94.57,False,0,False,10,5,5.43,Accurate,Excellent (90-100%)
2023-10-03,Beauty,Makeup,East DC,Supplier E,125,116,138,12,100,4.75,84.18,92.24,False,0,False,22,9,7.76,Accurate,Excellent (90-100%)
2023-10-03,Beauty,Makeup,Central DC,Supplier E,132,144,154,9,92,4.34,93.04,91.67,False,0,False,10,-12,8.33,Accurate,Excellent (90-100%)
2023-10-04,Electronics,Headphones,South DC,Supplier C,264,222,308,4,96,4.16,60.37,81.08,False,0,True,86,42,18.92,Over-forecast,Good (80-90%)
2023-10-04,Electronics,Headphones,Central DC,Supplier B,112,123,124,3,96,4.66,97.96,91.06,False,0,False,1,-11,8.94,Accurate,Excellent (90-100%)
2023-10-04,Electronics,Laptop,East DC,Supplier E,102,111,117,20,60,3.67,91.65,91.89,False,0,False,6,-9,8.11,Accurate,Excellent (90-100%)
2023-10-04,Electronics,Laptop,South DC,Supplier D,106,121,115,12,100,3.83,96.1,87.6,True,6,False,0,-15,12.4,Under-forecast,Good (80-90%)
2023-10-04,Electronics,Phone,West DC,Supplier D,214,192,235,5,100,4.68,75.21,88.54,False,0,True,43,22,11.46,Over-forecast,Good (80-90%)
2023-10-04,Electronics,Phone,East DC,Supplier A,220,196,244,4,100,4.81,77.53,87.76,False,0,True,48,24,12.24,Over-forecast,Good (80-90%)
2023-10-04,Clothing,Shoes,Central DC,Supplier B,114,109,120,2,96,5.0,87.57,95.41,False,0,False,11,5,4.59,Accurate,Excellent (90-100%)
2023-10-04,Clothing,Shoes,West DC,Supplier E,93,111,112,10,100,3.95,98.81,83.78,False,0,False,1,-18,16.22,Under-forecast,Good (80-90%)
2023-10-04,Clothing,Dress,East DC,Supplier A,160,179,177,3,96,4.19,95.83,89.39,True,2,False,0,-19,10.61,Under-forecast,Good (80-90%)
2023-10-04,Clothing,Dress,Central DC,Supplier D,119,111,125,6,97,5.0,89.69,92.79,False,0,False,14,8,7.21,Accurate,Excellent (90-100%)
2023-10-04,Clothing,Jacket,South DC,Supplier C,231,271,257,6,92,3.66,90.01,85.24,True,14,False,0,-40,14.76,Under-forecast,Good (80-90%)
2023-10-04,Clothing,Jacket,East DC,Supplier A,298,278,317,3,96,5.0,87.73,92.81,False,0,False,39,20,7.19,Over-forecast,Excellent (90-100%)
2023-10-04,Food,Bread,Central DC,Supplier D,214,230,227,9,92,4.16,96.99,93.04,True,3,False,0,-16,6.96,Under-forecast,Excellent (90-100%)
2023-10-04,Food,Bread,South DC,Supplier A,346,324,371,1,96,4.92,85.63,93.21,False,0,False,47,22,6.79,Over-forecast,Excellent (90-100%)
2023-10-04,Food,Coffee,South DC,Supplier E,452,429,507,12,96,4.81,86.26,94.64,False,0,False,78,23,5.36,Over-forecast,Excellent (90-100%)
2023-10-04,Food,Coffee,Central DC,Supplier B,354,380,376,4,96,3.98,97.79,93.16,True,4,False,0,-26,6.84,Under-forecast,Excellent (90-100%)
2023-10-04,Food,Cheese,East DC,Supplier A,326,349,350,2,96,4.75,95.36,93.41,False,0,False,1,-23,6.59,Under-forecast,Excellent (90-100%)
2023-10-04,Food,Cheese,South DC,Supplier A,260,236,288,3,96,5.0,77.49,89.83,False,0,True,52,24,10.17,Over-forecast,Good (80-90%)
2023-10-04,Home Goods,Rug,West DC,Supplier D,104,89,119,5,98,3.87,60.35,83.15,False,0,True,30,15,16.85,Accurate,Good (80-90%)
2023-10-04,Home Goods,Rug,East DC,Supplier E,88,80,100,10,84,4.22,76.7,90.0,False,0,True,20,8,10.0,Accurate,Good (80-90%)
2023-10-04,Home Goods,Lamp,Central DC,Supplier B,116,130,129,6,92,4.05,97.42,89.23,True,1,False,0,-14,10.77,Accurate,Good (80-90%)
2023-10-04,Home Goods,Lamp,West DC,Supplier D,148,124,171,13,84,3.81,51.63,80.65,False,0,True,47,24,19.35,Over-forecast,Good (80-90%)
2023-10-04,Home Goods,Curtains,East DC,Supplier A,49,59,57,1,96,3.61,97.49,83.05,True,2,False,0,-10,16.95,Accurate,Good (80-90%)
2023-10-04,Home Goods,Curtains,Central DC,Supplier B,119,132,130,2,96,4.01,95.87,90.15,True,2,False,0,-13,9.85,Accurate,Excellent (90-100%)
2023-10-04,Sports,Tennis Racket,South DC,Supplier A,101,118,110,2,100,4.19,92.19,85.59,True,8,False,0,-17,14.41,Under-forecast,Good (80-90%)
2023-10-04,Sports,Tennis Racket,West DC,Supplier E,167,147,193,4,100,4.42,57.68,86.39,False,0,True,46,20,13.61,Over-forecast,Good (80-90%)
2023-10-04,Sports,Yoga Mat,Central DC,Supplier B,67,64,72,6,100,5.0,81.81,95.31,False,0,False,8,3,4.69,Accurate,Excellent (90-100%)
2023-10-04,Sports,Yoga Mat,East DC,Supplier C,95,102,101,4,96,4.11,98.26,93.14,True,1,False,0,-7,6.86,Accurate,Excellent (90-100%)
2023-10-04,Sports,Running Shoes,Central DC,Supplier B,101,113,112,7,92,3.57,97.6,89.38,True,1,False,0,-12,10.62,Accurate,Good (80-90%)
2023-10-04,Sports,Running Shoes,South DC,Supplier E,60,53,70,12,92,3.94,62.11,86.79,False,0,True,17,7,13.21,Accurate,Good (80-90%)
2023-10-04,Beauty,Perfume,East DC,Supplier A,143,131,155,3,100,4.62,85.31,90.84,False,0,False,24,12,9.16,Accurate,Excellent (90-100%)
2023-10-04,Beauty,Perfume,Central DC,Supplier A,93,98,97,3,96,4.14,97.4,94.9,True,1,False,0,-5,5.1,Accurate,Excellent (90-100%)
2023-10-04,Beauty,Shampoo,East DC,Supplier C,114,123,120,4,100,3.93,95.72,92.68,True,3,False,0,-9,7.32,Accurate,Excellent (90-100%)
2023-10-04,Beauty,Shampoo,South DC,Supplier E,240,214,272,13,99,4.5,76.83,87.85,False,0,True,58,26,12.15,Over-forecast,Good (80-90%)
2023-10-04,Beauty,Skincare,Central DC,Supplier C,224,205,242,4,96,4.98,86.01,90.73,False,0,False,37,19,9.27,Over-forecast,Excellent (90-100%)
2023-10-04,Beauty,Skincare,West DC,Supplier E,92,106,106,25,40,3.71,97.03,86.79,False,0,False,0,-14,13.21,Accurate,Good (80-90%)
2023-10-05,Electronics,Smart Watch,East DC,Supplier B,139,150,148,4,100,4.49,99.39,92.67,True,2,False,0,-11,7.33,Accurate,Excellent (90-100%)
2023-10-05,Electronics,Smart Watch,Central DC,Supplier C,132,127,138,4,96,4.97,91.98,96.06,False,0,False,11,5,3.94,Accurate,Excellent (90-100%)
2023-10-05,Electronics,Tablet,West DC,Supplier E,137,123,157,5,105,3.96,76.43,88.62,False,0,True,34,14,11.38,Accurate,Good (80-90%)
2023-10-05,Electronics,Tablet,South DC,Supplier E,190,162,227,13,99,3.66,57.98,82.72,False,0,True,65,28,17.28,Over-forecast,Good (80-90%)
2023-10-05,Electronics,Phone,East DC,Supplier E,126,138,146,8,104,4.73,92.15,91.3,False,0,False,8,-12,8.7,Accurate,Excellent (90-100%)
2023-10-05,Electronics,Phone,Central DC,Supplier D,205,195,215,12,100,4.94,81.01,94.87,False,0,False,20,10,5.13,Accurate,Excellent (90-100%)
2023-10-05,Clothing,Jeans,East DC,Supplier B,256,227,281,6,92,4.42,74.0,87.22,False,0,True,54,29,12.78,Over-forecast,Good (80-90%)
2023-10-05,Clothing,Jeans,South DC,Supplier D,189,170,205,5,96,4.5,71.07,88.82,False,0,True,35,19,11.18,Over-forecast,Good (80-90%)
2023-10-05,Clothing,Dress,South DC,Supplier E,207,262,248,17,96,2.59,92.97,79.01,True,14,False,0,-55,20.99,Under-forecast,Fair (70-80%)
2023-10-05,Clothing,Dress,East DC,Supplier C,139,126,155,3,97,4.32,77.81,89.68,False,0,True,29,13,10.32,Accurate,Good (80-90%)
2023-10-05,Clothing,Sweater,East DC,Supplier C,171,152,189,6,100,4.26,71.53,87.5,False,0,True,37,19,12.5,Over-forecast,Good (80-90%)
2023-10-05,Clothing,Sweater,West DC,Supplier B,134,150,144,3,100,3.99,96.95,89.33,True,6,False,0,-16,10.67,Under-forecast,Good (80-90%)
2023-10-05,Food,Bread,East DC,Supplier C,359,347,381,6,96,5.0,93.46,96.54,False,0,False,34,12,3.46,Accurate,Excellent (90-100%)
2023-10-05,Food,Bread,South DC,Supplier B,365,403,407,4,96,4.95,97.98,90.57,False,0,False,4,-38,9.43,Under-forecast,Excellent (90-100%)
2023-10-05,Food,Cheese,East DC,Supplier E,224,236,249,6,97,4.34,92.7,94.92,False,0,False,13,-12,5.08,Accurate,Excellent (90-100%)
2023-10-05,Food,Cheese,West DC,Supplier B,460,438,485,6,100,4.59,89.95,94.98,False,0,False,47,22,5.02,Over-forecast,Excellent (90-100%)
2023-10-05,Food,Milk,South DC,Supplier C,399,366,433,5,96,4.79,85.36,90.98,False,0,False,67,33,9.02,Over-forecast,Excellent (90-100%)
2023-10-05,Food,Milk,West DC,Supplier D,350,362,377,7,96,5.0,95.6,96.69,False,0,False,15,-12,3.31,Accurate,Excellent (90-100%)
2023-10-05,Home Goods,Chair,Central DC,Supplier D,59,55,62,13,84,4.29,88.65,92.73,False,0,False,7,4,7.27,Accurate,Excellent (90-100%)
2023-10-05,Home Goods,Chair,West DC,Supplier D,56,62,60,8,100,3.95,96.2,90.32,True,2,False,0,-6,9.68,Accurate,Excellent (90-100%)
2023-10-05,Home Goods,Lamp,South DC,Supplier E,130,111,156,6,101,4.26,67.03,82.88,False,0,True,45,19,17.12,Over-forecast,Good (80-90%)
2023-10-05,Home Goods,Lamp,Central DC,Supplier D,67,60,74,7,92,4.43,70.81,88.33,False,0,True,14,7,11.67,Accurate,Good (80-90%)
2023-10-05,Home Goods,Table,West DC,Supplier B,82,71,93,4,100,4.27,66.59,84.51,False,0,True,22,11,15.49,Accurate,Good (80-90%)
2023-10-05,Home Goods,Table,South DC,Supplier B,81,93,87,3,100,3.65,94.83,87.1,True,6,False,0,-12,12.9,Accurate,Good (80-90%)
2023-10-05,Sports,Running Shoes,South DC,Supplier D,100,126,117,7,100,2.73,91.82,79.37,True,9,False,0,-26,20.63,Under-forecast,Fair (70-80%)
2023-10-05,Sports,Running Shoes,East DC,Supplier E,59,70,71,12,96,4.07,95.61,84.29,False,0,False,1,-11,15.71,Accurate,Good (80-90%)
2023-10-05,Sports,Tennis Racket,Central DC,Supplier D,102,94,112,6,97,4.56,82.21,91.49,False,0,False,18,8,8.51,Accurate,Excellent (90-100%)
2023-10-05,Sports,Tennis Racket,South DC,Supplier E,105,123,122,25,40,2.71,99.14,85.37,True,1,False,0,-18,14.63,Under-forecast,Good (80-90%)
